Place,Avg_Rating,Likely_Partner,Common_Names,Common_Adjectives,Most_Frequent_Bigrams,Most_Frequent_Trigrams
Charminar,4.0181818181818185,Family,"['Weekends', 'Mecca', 'Madrasa', 'Mosque', 'Baghmati']","['crowded', 'local', 'famous', 'historical', 'worth']","[('must', 'visit'), ('four', 'minarets'), ('area', 'around'), ('around', 'charminar'), ('well', 'maintained')]","[('must', 'visit', 'place'), ('area', 'around', 'charminar'), ('monument', 'located', 'heart'), ('monument', 'built', '1591'), ('well', 'worth', 'visit')]"
Golconda Fort,4.554545454545455,Couples,"['Fort', 'Iran', 'England', 'Golkonda', 'golconda']","['old', 'historical', 'worth', 'light', 'helpful']","[('golconda', 'fort'), ('must', 'visit'), ('light', 'sound'), ('take', 'guide'), ('views', 'city')]","[('light', 'sound', 'show'), ('place', 'must', 'visit'), ('get', 'feel', 'history'), ('golconda', 'one', 'iconic'), ('one', 'iconic', 'sites')]"
Wonderla,4.733333333333333,Friends,"['Lunch', 'la.', 'Nice']","['amazing', 'awesome', 'wonderful', 'superb', 'excellent']","[('enjoyed', 'lot'), ('mission', 'interstellar'), ('good', 'experience'), ('amazing', 'experience'), ('enjoyed', 'alot')]","[('enjoyed', 'lot', 'friends'), ('spent', 'precious', 'time'), ('time', 'visit', 'wonderla'), ('wonderla', 'amazing', 'experience'), ('enjoyed', 'alot', 'wonderla')]"
Ramoji Film City,4.181818181818182,Family,"['Sitara', 'Bollywood', 'Namapally', 'Singapore', 'Eureka']","['worth', 'different', 'huge', 'beautiful', 'live']","[('film', 'city'), ('ramoji', 'film'), ('full', 'day'), ('place', 'visit'), ('film', 'sets')]","[('ramoji', 'film', 'city'), ('visited', 'film', 'city'), ('film', 'city', 'offers'), ('place', 'visit', 'family'), ('one', 'full', 'day')]"
Nehru Zoological Park,4.166666666666667,Family,"['Zoo', 'Nehru', 'rome', 'animals3', 'KIDS**.The']","['different', 'huge', 'white', 'wild', 'large']","[('nehru', 'zoological'), ('zoological', 'park'), ('well', 'maintained'), ('zoo', 'park'), ('toy', 'train')]","[('nehru', 'zoological', 'park'), ('good', 'place', 'visit'), ('forest', 'department', 'government'), ('different', 'types', 'birds'), ('take', 'battery', 'operated')]"
Birla Science Museum,4.291139240506329,Family,"['Dwaraka', 'Blore', 'Dinosarium', 'Skelton', '3rd Level']","['different', '3d', 'old', 'worth', 'scientific']","[('science', 'centre'), ('birla', 'science'), ('science', 'museum'), ('good', 'place'), ('science', 'center')]","[('birla', 'science', 'centre'), ('visit', 'science', 'center'), ('really', 'good', 'place'), ('located', 'near', 'birla'), ('science', 'museum', 'suitable')]"
Hussain Sagar Lake,4.033333333333333,Family,"['Secunderabad', 'Budha', 'hyderbad', 'Girbraltar Rock', 'Telangana State']","['beautiful', 'worth', 'bad', 'huge', 'large']","[('hussain', 'sagar'), ('buddha', 'statue'), ('sagar', 'lake'), ('boat', 'ride'), ('lumbini', 'park')]","[('hussain', 'sagar', 'lake'), ('statue', 'middle', 'lake'), ('take', 'boat', 'ride'), ('buddha', 'statue', 'middle'), ('statue', 'lord', 'buddha')]"
Birla mandir,4.6,Family,"['Secunderabad', 'Ganesha', 'Padmavati', 'Brahma', 'Lakshmi']","['beautiful', 'white', 'clean', 'peaceful', 'mobile']","[('white', 'marble'), ('hussain', 'sagar'), ('must', 'visit'), ('sagar', 'lake'), ('birla', 'mandir')]","[('hussain', 'sagar', 'lake'), ('made', 'white', 'marble'), ('view', 'hussain', 'sagar'), ('pure', 'white', 'marble'), ('white', 'marble', 'temple')]"
Cable Bridge,3.108695652173913,Friends,"['Gachibowli', 'Hitec City', 'Jubilee hills', 'boating2', 'hitech city']","['open', 'beautiful', 'secret', 'dirty', 'old']","[('durgam', 'cheruvu'), ('well', 'maintained'), ('cable', 'bridge'), ('secret', 'lake'), ('waste', 'time')]","[('durgam', 'cheruvu', 'lake'), ('telangana', 'tourism', 'department'), ('called', 'secret', 'lake'), ('near', 'inorbit', 'mall'), ('located', 'close', 'madhapur')]"
NTR Garden,3.725,Family,[],"['beautiful', 'close', 'pleasant', 'grand', 'fun']","[('hussain', 'sagar'), ('sagar', 'lake'), ('lake', 'garden'), ('toy', 'train'), ('ntr', 'garden')]","[('hussain', 'sagar', 'lake'), ('near', 'hussain', 'sagar'), ('place', 'necklace', 'road'), ('grand', 'scale', 'ppl'), ('scale', 'ppl', 'dobt')]"
